sale_date,sale_year,sale_month,quarter_label,week_start,day_type,channel,total_transactions,total_units,total_revenue,gross_revenue,total_delivery_income,total_returns,total_refunds,return_rate_pct,event_day_txns,avg_order_value
2023-01-01,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekend,In-Store,2399,2399,18739509.00,18739509.00,0,108,871592.00,4.5,2399,7811.380000
2023-01-01,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekend,Online,1071,1071,8856073.00,8342573.00,535500,44,359656.00,4.11,1071,8268.980000
2023-01-02,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,In-Store,2513,2513,19289832.00,19289832.00,0,145,1189355.00,5.77,2513,7676.020000
2023-01-02,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,Online,1052,1052,8614998.00,8113998.00,526000,50,521050.00,4.75,1052,8189.160000
2023-01-03,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,In-Store,2504,2504,19035528.00,19035528.00,0,132,994068.00,5.27,2504,7602.050000
2023-01-03,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,Online,1050,1050,8952114.00,8459114.00,525000,64,498536.00,6.1,1050,8525.820000
2023-01-04,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,In-Store,2422,2422,18793490.00,18793490.00,0,112,987288.00,4.62,2422,7759.490000
2023-01-04,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,Online,980,980,7981177.00,7519677.00,490000,57,545843.00,5.82,980,8144.060000
2023-01-05,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,In-Store,2399,2399,18586214.00,18586214.00,0,113,865787.00,4.71,2399,7747.480000
2023-01-05,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,Online,1052,1052,8745595.00,8243095.00,526000,47,343553.00,4.47,1052,8313.300000
2023-01-06,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,In-Store,2390,2390,18229727.00,18229727.00,0,117,977483.00,4.9,2390,7627.500000
2023-01-06,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekday,Online,1003,1003,8117648.00,7641648.00,501500,51,443449.00,5.08,1003,8093.370000
2023-01-07,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekend,In-Store,2421,2421,18693599.00,18693599.00,0,120,965780.00,4.96,2421,7721.440000
2023-01-07,2023,1,Q1 2023,2023-01-02 00:00:00.000,Weekend,Online,992,992,8124953.00,7651453.00,496000,45,364055.00,4.54,992,8190.480000
2023-01-08,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekend,In-Store,2427,2427,18532986.00,18532986.00,0,113,935887.00,4.66,2427,7636.170000
2023-01-08,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekend,Online,1038,1038,8378011.00,7883511.00,519000,49,388751.00,4.72,1038,8071.300000
2023-01-09,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,In-Store,2384,2384,18217537.00,18217537.00,0,121,978179.00,5.08,2384,7641.580000
2023-01-09,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,Online,1010,1010,8412044.00,7934044.00,505000,54,465146.00,5.35,1010,8328.760000
2023-01-10,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,In-Store,2394,2394,18565120.00,18565120.00,0,114,922186.00,4.76,2394,7754.850000
2023-01-10,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,Online,1086,1086,8803873.00,8290373.00,543000,59,460141.00,5.43,1086,8106.700000
2023-01-11,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,In-Store,2405,2405,18536412.00,18536412.00,0,117,855783.00,4.86,2405,7707.450000
2023-01-11,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,Online,1026,1026,8269826.00,7782826.00,513000,52,396248.00,5.07,1026,8060.260000
2023-01-12,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,In-Store,2379,2379,18237919.00,18237919.00,0,98,788202.00,4.12,2379,7666.210000
